id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,51347.0,969512932692,1,1076693972299.0,26289333673.0,51520.0,48401.0,2890.94,5.96605,54988211291.0,6.01276,18909525.0,21000000.0,21000000.0,69045.0,-25.76782,2021-11-10T14:24:11.849Z,67.81,75485.0048,2013-07-06T00:00:00.000Z,,2021-12-24T08:36:10.891Z,0.4496982158968669,5.966050881303783,,,
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,4118.13,489075887826,2,,17001595293.0,4168.06,3931.97,172.94,4.38345,21580550374.0,4.61621,118868805.8115,,,4878.26,-15.64439,2021-11-10T14:24:19.604Z,0.432979,950312.72171,2015-10-20T00:00:00.000Z,,2021-12-24T08:36:58.793Z,0.4605218930825601,4.383452065388917,106.37236465835925,btc,10637.236465835924
binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,549.58,92366114482,3,92366114482.0,1760354419.0,555.02,527.83,20.63,3.90016,3589061058.0,4.04278,168137035.9,168137035.9,168137035.9,686.31,-20.21444,2021-05-10T07:24:17.097Z,0.0398177,1375101.55733,2017-10-19T00:00:00.000Z,,2021-12-24T08:35:08.391Z,0.5613436326585688,3.900155890296788,,,
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,1.01,77890561057,4,,61039796150.0,1.01,0.998054,0.0005926,0.05898,323613737.0,0.41721,77591578542.3877,77591578542.3877,,1.32,-24.14378,2018-07-24T00:00:00.000Z,0.572521,75.30363,2015-03-02T00:00:00.000Z,,2021-12-24T08:34:15.025Z,0.32243265619140715,0.05898324286900939,,,
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,190.08,58634254861,5,,1959875064.0,193.34,178.48,10.67,5.94753,3292020265.0,5.94848,308704542.045829,508180963.57,,259.96,-27.06168,2021-11-06T21:54:35.825Z,0.500801,37761.31392,2020-05-11T19:35:23.449Z,,2021-12-24T08:35:10.804Z,0.9696138506437867,5.9475331898432415,,,
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,1.46,46709175209,6,65548783028.0,1788374105.0,1.49,1.34,0.119307,8.9162,3861672063.0,9.0126,32066390668.4135,45000000000.0,45000000000.0,3.09,-52.87503,2021-09-02T06:00:10.474Z,0.01925275,7455.83588,2020-03-13T02:22:55.044Z,,2021-12-24T08:35:29.539Z,0.8991302077665948,8.916203350786024,,,
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.981363,46568173146,7,97964086061.0,4225266829.0,1.02,0.964954,-0.004970429439,-0.50393,107581283.0,0.23155,47535964473.0,100000000000.0,100000000000.0,3.4,-71.18247,2018-01-07T00:00:00.000Z,0.00268621,36358.44702,2014-05-22T00:00:00.000Z,,2021-12-24T08:37:50.056Z,0.8115766900089274,-0.5039301009739334,,,
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,42700587874,8,,2958100861.0,1.01,0.997446,-0.000413360032,-0.04116,104973934.0,0.24644,42549832356.2769,42554581511.4531,,1.17,-14.39768,2019-05-08T00:40:28.300Z,0.891848,12.55996,2021-05-19T13:14:05.611Z,,2021-12-24T08:37:57.193Z,0.1938334885196978,-0.04115683788026942,,,
terra-luna,luna,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,99.74,36753933922,9,100226560279.0,4419150406.0,100.84,85.17,13.39,15.5014,5073902156.0,16.01609,366708523.369726,839139728.21633,1000000000.0,100.84,-0.28247,2021-12-24T07:53:54.038Z,0.121798,82456.68965,2020-03-18T17:03:01.083Z,,2021-12-24T08:37:57.789Z,-0.7620754049760192,15.501400571398118,,,
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1639712644,29.3,31316894943,10,,1164213593.0,29.66,26.98,1.77,6.42996,2004914288.0,6.83991,1067948171.7528,1148876960.95024,,54.98,-46.74392,2021-11-04T14:10:09.301Z,2.7,985.49255,2020-08-20T05:48:11.359Z,,2021-12-24T08:37:43.547Z,0.5069292823007423,6.42995613457511,,,
